word,pos,meaning,level,source
cultivate,v.,耕作；培養,6,CEEC-108
cultural,adj.,文化的；教養的,2,CEEC-108
culture,n.,文化；教養,2,CEEC-108
cumulative,adj.,累積的,6,CEEC-108
cunning,adj./n.,狡猾的；奸詐的,4,CEEC-108
cup,n.,杯子,1,CEEC-108
cupboard,n.,碗櫃,3,CEEC-108
curb,n./v.,抑制,6,CEEC-108
cure,n./v.,n/v.治療；治癒,2,CEEC-108
curfew,n.,宵禁,6,CEEC-108
curiosity,n.,好奇心,4,CEEC-108
curious,adj.,好奇的,2,CEEC-108
curl,n./v.,"n. 拳曲, 鬈髮；vt. 弄卷；vi. 拳曲, 彎曲",4,CEEC-108
currency,n.,貨幣；流通,5,CEEC-108
current,adj./n.,目前的；潮流,2,CEEC-108
curriculum,n.,課程,5,CEEC-108
curry,n.,咖哩食品,6,CEEC-108
curse,n./v.,"n. 咒罵, 詛咒；vt. 詛咒, 咒罵",4,CEEC-108
curtain,n./v.,簾；給…裝上簾子,2,CEEC-108
curve,n./v.,/v曲線；使彎曲,4,CEEC-108
cushion,n./v.,墊子,4,CEEC-108
custody,n.,監管,5,CEEC-108
custom,n.,海關；習慣,2,CEEC-108
customary,adj.,習慣上的,6,CEEC-108
customer,n.,顧客,2,CEEC-108
customs,n.,"n. 海關, 關卡, 關稅；[經] 關稅, 海關",5,CEEC-108
cut,n./v.,切,1,CEEC-108
cute,adj.,可愛的,1,CEEC-108
cycle,n./v.,週期；循環,2,CEEC-108
cynical,adj.,"a. 憤世嫉俗的, 諷刺的, 冷嘲的",6,CEEC-108
daily,adj./adv./n.,每日的,2,CEEC-108
dairy,n.,乳品店,3,CEEC-108
dam,n./v.,水壩；築壩於…,3,CEEC-108
damage,n./v.,損害；毀壞,2,CEEC-108
damp,adj./n./v.,潮溼的,4,CEEC-108
dance,n./v.,舞蹈,1,CEEC-108
dancer,n.,舞者,2,CEEC-108
danger,n.,危險,2,CEEC-108
dangerous,adj.,危險的,1,CEEC-108
dare,aux./v.,敢於…；膽敢,3,CEEC-108
dark,adj./n.,黑暗的,1,CEEC-108
darling,adj./n.,親愛的,3,CEEC-108
dash,n./v.,猛衝,3,CEEC-108
data,n.,資料,2,CEEC-108
database,n.,n. 資料庫；[計] 資料庫,3,CEEC-108
date,n./v.,棗；棗椰樹,1,CEEC-108
daughter,n.,女兒,1,CEEC-108
dawn,n./v.,黎明；破曉,3,CEEC-108
day,n.,n白天,1,CEEC-108
dazzle,n./v.,使目眩,6,CEEC-108
dead,adj.,死去的；無效的,1,CEEC-108
deadline,n.,截止期限,4,CEEC-108
deadly,adj./adv.,"a. 致命的, 致死的；adv. 非常, 如死一般地",5,CEEC-108
deaf,adj.,聾的,2,CEEC-108
deafen,v.,使聽不見,6,CEEC-108
deal,n./v.,n ./v.交易；處理,1,CEEC-108
dealer,n.,"n. 經銷商, 商人；[經] 交易員, 販賣商",3,CEEC-108
dear,adj./adv./n.,親愛的,1,CEEC-108
death,n.,n. 死亡；[醫] 死亡,1,CEEC-108
debate,n./v.,爭論,2,CEEC-108
debris,n.,"n. 碎片, 殘骸；[醫] 碎屑",5,CEEC-108
debt,n.,債,2,CEEC-108
debut,n.,初次登臺,5,CEEC-108
decade,n.,"n. 十年, 十",3,CEEC-108
decay,n./v.,"n. 衰退, 腐敗；v. (使)衰退, (使)腐敗",5,CEEC-108
deceive,v.,欺騙,5,CEEC-108
decent,adj.,得體的,5,CEEC-108
decide,v.,決定,1,CEEC-108
decision,n.,決定,2,CEEC-108
decisive,adj.,果斷的,6,CEEC-108
deck,n.,甲板,3,CEEC-108
declaration,n.,宣布；聲明,5,CEEC-108
declare,v.,宣告；聲明,4,CEEC-108
decline,n./v.,下降,5,CEEC-108
decorate,v.,裝飾,3,CEEC-108
decoration,n.,裝飾；裝溝,4,CEEC-108
decrease,n./v.,減少,3,CEEC-108
dedicate,v.,奉獻,5,CEEC-108
dedication,n.,"n. 奉獻, 獻身, 獻辭；[計] 專用",6,CEEC-108
deduct,v.,"vt. 扣除, 減去；[經] 扣除, 減去, 折扣",6,CEEC-108
deed,n.,行為；功績,3,CEEC-108
deem,v.,視為,6,CEEC-108
deep,adj./adv.,深的,1,CEEC-108
deepen,v.,加深,3,CEEC-108
deer,n.,鹿,2,CEEC-108
default,n./v.,"n. 違約, 不履行責任, 缺席, 默認值；v. 疏怠職責, 缺席, 拖欠, 默認；[計] 默認; 默認值; 預設值",6,CEEC-108
defeat,n./v.,失敗；擊敗,4,CEEC-108
defect,n./v.,缺點,6,CEEC-108
defend,v.,防守；防衛,4,CEEC-108
defendant,n.,n. 被告；[經] 被告方,5,CEEC-108
defense,n.,防衛,4,CEEC-108
defensible,adj.,"a. 可防衛的, 可防護的, 可辯護的；[法] 可辯護的, 能防衛的",4,CEEC-108
defensive,adj.,防護的；保衛的,4,CEEC-108
defiance,n.,"n. 蔑視, 挑戰；[法] 挑戰, 藐視, 違抗",6,CEEC-108
deficit,n.,赤字,5,CEEC-108
define,v.,解釋；給…下定義,1,CEEC-108
definite,adj.,明確的；肯定的,4,CEEC-108
definition,n.,"n. 定義, 精確度, 清晰度；[計] 清晰度; 清晰度",3,CEEC-108
definitive,adj.,"n. 限定詞；a. 限定的, 決定性的",6,CEEC-108
defy,v.,違抗,5,CEEC-108
degree,n.,度數；學位；等級,2,CEEC-108
delay,n./v.,拖延,2,CEEC-108
delegate,n./v.,派…為代表,5,CEEC-108
delegation,n.,委任,5,CEEC-108
deliberate,adj./v.,"a. 深思熟慮的, 故意的, 從容的；v. 仔細考慮",5,CEEC-108
delicate,adj.,纖弱的；雅緻的,4,CEEC-108
delicious,adj.,美味可口的,2,CEEC-108
delight,n./v.,喻快,4,CEEC-108
delightful,adj.,令人愉快的,4,CEEC-108
deliver,v.,遞送,2,CEEC-108
delivery,n.,投遞；交貨,2,CEEC-108
demand,n./v.,請求；要求,4,CEEC-108
democracy,n.,民主,3,CEEC-108
democrat,n.,民主主義者,5,CEEC-108
democratic,adj.,民主的,3,CEEC-108
demonstrate,v.,證明；展示；遊行,4,CEEC-108
demonstration,n.,驗證；示威運動,4,CEEC-108
denial,n.,否認,5,CEEC-108
dense,adj.,密集的；稠密的,4,CEEC-108
density,n.,n. 密度；[化] 密度,5,CEEC-108
dental,adj.,牙齒的；齒音(的),6,CEEC-108
dentist,n.,牙科醫師,2,CEEC-108
deny,v.,否定；否認,2,CEEC-108
depart,v.,分離；啟程,4,CEEC-108
department,n.,n部門；系,2,CEEC-108
departure,n.,分離；啟程,4,CEEC-108
depend,v.,依賴,2,CEEC-108
dependent,adj./n.,依賴性強的,4,CEEC-108
depict,v.,描繪,5,CEEC-108
deplete,v.,使枯竭,6,CEEC-108
deploy,v.,布署,5,CEEC-108
deposit,n./v.,存款；押金；放置,3,CEEC-108
depress,v.,使沮喪,5,CEEC-108
depression,n.,沮喪,4,CEEC-108
deprive,v.,剝奪,6,CEEC-108
depth,n.,深度,2,CEEC-108
deputy,n.,n. 副手，代理人,5,CEEC-108
derive,v.,vt. 得自；vi. 起源,5,CEEC-108
descend,v.,"vi. 下降, 世代相傳, 屈尊, 襲擊；vt. 下降",5,CEEC-108
descent,n.,下降,6,CEEC-108
describe,v.,描述,2,CEEC-108
description,n.,描寫；說明?,2,CEEC-108
descriptive,adj.,"a. 描述的, 敘述的",5,CEEC-108
desert,n./v.,沙漠,2,CEEC-108
deserve,v.,應得,4,CEEC-108
design,n./v.,設計,2,CEEC-108
designer,n.,設計師,3,CEEC-108
desirable,adj.,"a. 令人想望的, 可取的",3,CEEC-108
desire,n./v.,慾望,3,CEEC-108
desk,n.,書桌,1,CEEC-108
despair,n./v.,"n. 絕望, 失望；vi. 絕望",5,CEEC-108
desperate,adj.,絕望的,4,CEEC-108
despise,v.,藐視,6,CEEC-108
despite,prep.,儘管,4,CEEC-108
dessert,n.,甜點；餐後點心,3,CEEC-108
destination,n.,目的地,5,CEEC-108
destined,adj.,"a. 預定的, 註定的, 命定的",6,CEEC-108
destiny,n.,"n. 命運, 定數",5,CEEC-108
destroy,v.,摧毀,3,CEEC-108
destruction,n.,破壞,4,CEEC-108
destructive,adj.,毀滅性的,5,CEEC-108
detach,v.,分開,6,CEEC-108
detail,n./v.,細節,2,CEEC-108
detain,v.,拘留；耽擱,6,CEEC-108
detect,v.,"vt. 發現, 察覺, 探測；[法] 發現, 查明, 探測",3,CEEC-108
detective,adj./n.,n. 偵探；a. 偵探的,4,CEEC-108
detention,n.,"n. 阻止, 監禁, 拘留；[醫] 隔離, 拘留, 滯留, 停滯",6,CEEC-108
deter,v.,制止,6,CEEC-108
detergent,n.,洗潔劑,6,CEEC-108
determination,n.,決心,4,CEEC-108
determine,v.,決定；堅決,3,CEEC-108
develop,v.,"vt. 發展, 使發達, 進步, 洗印, 顯影；vi. 發展, 生長",2,CEEC-108
development,n.,n. 發展；[化] 展開,2,CEEC-108
device,n.,裝置,4,CEEC-108
devil,n.,魔鬼,3,CEEC-108
devise,v.,策劃,4,CEEC-108
devote,v.,將…奉獻給,4,CEEC-108
devotion,n.,奉獻,5,CEEC-108
devour,v.,"vt. 吞食, 揮霍, 吞沒",6,CEEC-108
dew,n.,"n. 露珠, 露水；vt. (用露水)沾溼；vi. 結露水",4,CEEC-108
diabetes,n.,糖尿病,6,CEEC-108
diagnose,v.,診斷,5,CEEC-108
diagnosis,n.,診斷(法),5,CEEC-108
diagram,n./v.,圖表(解),4,CEEC-108
dial,n./v.,撥號；刻度盤,2,CEEC-108
dialect,n.,方言,5,CEEC-108
dialogue,n.,對話,2,CEEC-108
diameter,n.,"n. 直徑；[醫] 直經, 徑",5,CEEC-108
diamond,n.,鑽石,2,CEEC-108
diaper,n.,菱形花紋(布)；尿布,5,CEEC-108
diary,n.,日記,2,CEEC-108
dictate,v.,使聽寫；命令,6,CEEC-108
dictation,n.,聽寫；命令,6,CEEC-108
dictator,n.,獨裁者,6,CEEC-108
dictatorship,n.,"n. 獨裁者之職位, 獨裁, 獨裁政權；[法] 專攻, 獨裁權",6,CEEC-108
dictionary,n.,字典,1,CEEC-108
die,v.,死亡,1,CEEC-108
diesel,n.,"n. 內燃機, 柴油機, 柴油",6,CEEC-108
diet,n./v.,飲食；特種飲食,2,CEEC-108
differ,v.,不同於…,4,CEEC-108
difference,n.,差異,2,CEEC-108
different,adj.,不同的,1,CEEC-108
differentiate,v.,區分,6,CEEC-108
difficult,adj.,困難的,1,CEEC-108
difficulty,n.,困難,2,CEEC-108
dig,n./v.,挖；掘,1,CEEC-108
digest,n./v.,消化,4,CEEC-108
digestion,n.,消化作用,5,CEEC-108
digital,adj.,數字式的,4,CEEC-108
dignity,n.,尊嚴,4,CEEC-108
dilemma,n.,困境,5,CEEC-108
diligence,n.,勤勉,4,CEEC-108
diligent,adj.,勤奮的,4,CEEC-108
dim,adj./v.,朦朧的,3,CEEC-108
dime,n.,一角硬幣,3,CEEC-108
dimension,n.,尺寸；範圍,5,CEEC-108
diminish,v.,減少,5,CEEC-108
dine,v.,用餐,3,CEEC-108
dinner,n.,晚餐,1,CEEC-108
dinosaur,n.,恐龍,3,CEEC-108
dip,n./v.,浸；泡,3,CEEC-108
diploma,n.,學位證書,4,CEEC-108
diplomacy,n.,外交,6,CEEC-108
diplomat,n.,外交官,4,CEEC-108
diplomatic,adj.,"a. 外交的, 老練的；[法] 外交的, 外交上的, 文獻上的",5,CEEC-108
direct,adj./adv./v.,直接的；指向,2,CEEC-108
direction,n.,方向,2,CEEC-108
directive,n.,"a. 指導的, 指揮的, 方向的；n. 指令；[計] 指令; 命令",6,CEEC-108
director,n.,主管；導演,2,CEEC-108
directory,n.,工商人名錄,5,CEEC-108
dirt,n.,汙物；泥土,3,CEEC-108
dirty,adj./v.,汙穢的,1,CEEC-108
disability,n.,無能,4,CEEC-108
disable,v.,使失去能力,6,CEEC-108
disadvantage,n./v.,不利之條件,4,CEEC-108
disagree,v.,"vi. 不一致, 不適宜；[法] 牴觸, 不同意, 爭執",2,CEEC-108
disagreement,n.,"n. 不合, 爭論, 不一致；[法] 不一致, 不同意, 陪審團的意見不一",2,CEEC-108
disappear,v.,消失,2,CEEC-108
disappoint,v.,vt. 使失望,4,CEEC-108
disappointment,n.,n. 失望,4,CEEC-108
disapprove,v.,不贊成,5,CEEC-108
disaster,n.,災難,4,CEEC-108
disastrous,adj.,多災多難的,6,CEEC-108
disbelief,n.,"n. 不信, 懷疑",6,CEEC-108
disc,n.,"n. 圓盤, 唱片；vt. 灌唱片",3,CEEC-108
discard,n./v.,摒棄,6,CEEC-108
discharge,n./v.,"vt. 卸下, 放出, 解僱, 拔染, 履行, 放電；vi. 卸貨, 流出；n. 卸貨, 流出, 放電",6,CEEC-108
disciple,n.,門徒,6,CEEC-108
disciplinary,adj.,紀律上的,6,CEEC-108
discipline,n./v.,紀律,4,CEEC-108
disclose,v.,露出,5,CEEC-108
disclosure,n.,揭露,6,CEEC-108
discomfort,n./v.,不舒適,6,CEEC-108
disconnect,v.,使分離,5,CEEC-108
discount,n./v.,折扣,3,CEEC-108
discourage,v.,"vt. 使氣餒, 阻礙",4,CEEC-108
discouragement,n.,"n. 使洩氣, 使氣餒, 使沮喪, 使喪失信心, 使失去信心, 阻攔, 勸阻, 留難",4,CEEC-108
discourse,n.,"n. 談話, 演講；vi. 談話, 講述",5,CEEC-108
discover,v.,發現,2,CEEC-108
discovery,n.,發現,2,CEEC-108
discreet,adj.,考慮周到的,6,CEEC-108
discriminate,v.,辨別,5,CEEC-108
discrimination,n.,歧視；區別,5,CEEC-108
discuss,v.,討論,2,CEEC-108
discussion,n.,討論,2,CEEC-108
disease,n.,疾病,2,CEEC-108
disgrace,n./v.,"n. 恥辱, 不名譽；vt. 使受恥辱, 使失體面",6,CEEC-108
disguise,n./v.,偽裝,4,CEEC-108
disgust,n./v.,嫌惡；使厭惡,4,CEEC-108
dish,n./v.,碟；菜餚,1,CEEC-108
dishonest,adj.,不誠實的,3,CEEC-108
disk,n.,"n. 圓盤, 磁碟；[計] 磁碟",3,CEEC-108
dislike,n./v.,"n. 嫌惡；vt. 討厭, 不喜歡",3,CEEC-108
dismay,n./v.,使驚慌,6,CEEC-108
dismiss,v.,解散,4,CEEC-108
disorder,n./v.,使混亂；騷亂,4,CEEC-108
dispensable,adj.,可有可無的,6,CEEC-108
dispense,v.,"vt. 分發, 分配；vi. 特許, 豁免",6,CEEC-108
display,n./v.,陳列,2,CEEC-108
disposable,adj./n.,可丟棄的,6,CEEC-108
disposal,n.,處理；配置,6,CEEC-108
dispose,v.,處理；配置,6,CEEC-108
dispute,n./v.,爭論,4,CEEC-108
disrupt,v.,擾亂,5,CEEC-108
dissent,n.,"n. 異議；vi. 持異議, 不同意",6,CEEC-108
dissolve,v.,"v. 溶解, 解散",5,CEEC-108
distance,n.,距離,2,CEEC-108
distant,adj.,遙遠的,2,CEEC-108
distinct,adj.,有區別的,4,CEEC-108
distinction,n.,區別,5,CEEC-108
distinctive,adj.,"a. 有特色的, 出眾的",5,CEEC-108
distinguish,v.,識別,4,CEEC-108
distinguished,adj.,卓越的,4,CEEC-108
distract,v.,使分心,5,CEEC-108
distraction,n.,"n. 娛樂, 分心的事物, 分心；[醫] 注意力分散, 內脫位, 牙弓過寬",6,CEEC-108
distress,n./v.,悲痛,6,CEEC-108
distribute,v.,分配,4,CEEC-108
distribution,n.,分配；配給物,4,CEEC-108
district,n.,區域,4,CEEC-108
disturb,v.,妨礙；打擾,4,CEEC-108
disturbance,n.,"n. 擾亂, 不安, 憂慮；[化] 擾動; 幹擾; 失調",6,CEEC-108
ditch,n./v.,水道；渠道,3,CEEC-108
dive,n./v.,跳水；潛水,3,CEEC-108
diverse,adj.,各種各樣的,4,CEEC-108
diversify,v.,使多樣化,6,CEEC-108
diversion,n.,轉換,6,CEEC-108
diversity,n.,多樣性,4,CEEC-108
divert,v.,"vt. 轉移, 使歡娛；vi. 轉移",6,CEEC-108
divide,n./v.,劃分；分歧,2,CEEC-108
dividend,n.,股息,6,CEEC-108
divine,adj.,神的；神聖的,4,CEEC-108
division,n.,分開；部門,2,CEEC-108
divorce,n./v.,離婚,4,CEEC-108
dizzy,adj.,頭暈目眩的,3,CEEC-108
do,aux./v.,"v. 做, 進行, 完成",1,CEEC-108
doc,n.,"[計] 通信部, 數字輸出控制, 文檔；[醫] 脫氧皮質酮",1,CEEC-108
dock,n./v.,碼頭,3,CEEC-108
doctor,n.,醫生；博士,1,CEEC-108
doctrine,n.,"n. 教條, 學說；[醫] 學說",5,CEEC-108
document,n./v.,文件,5,CEEC-108
documentary,adj./n.,記錄片,5,CEEC-108
dodge,n./v.,避開,4,CEEC-108
dog,n.,狗,1,CEEC-108
doll,n.,洋娃娃,1,CEEC-108
dollar,n.,(美、加等國)元,1,CEEC-108
dolphin,n.,海豚,3,CEEC-108
domain,n.,領域,5,CEEC-108
dome,n./v.,n. 圓頂；vt. 加圓頂；vi. 成圓頂狀,5,CEEC-108
domestic,adj.,家庭的；國內的,2,CEEC-108
dominant,adj.,支配的,4,CEEC-108
dominate,v.,支配,4,CEEC-108
donate,v.,捐贈,5,CEEC-108
donation,n.,捐贈；捐贈物,5,CEEC-108
donkey,n.,驢,3,CEEC-108
donor,n.,捐贈者,5,CEEC-108
doom,n./v.,厄運；註定,6,CEEC-108
door,n.,n. 門,1,CEEC-108
doorway,n.,"n. 門口, 途徑",5,CEEC-108
dorm,n.,n. 宿舍,6,CEEC-108
dormitory,n.,n. 宿舍,6,CEEC-108
dose,n./v.,n．(藥物等的)一劑,3,CEEC-108
dot,n./v.,點；打點於,2,CEEC-108
double,adj./adv./n./v.,兩倍的；雙重地,2,CEEC-108
doubt,n./v.,懷疑；疑點,2,CEEC-108
doubtful,adj.,令人懷疑的,3,CEEC-108
dough,n.,生麵團,5,CEEC-108
doughnut,n.,甜甜圈,3,CEEC-108
dove,n.,鴿,2,CEEC-108
down,adj./adv./n./prep./v.,在…下方；下面的,1,CEEC-108
download,v.,"[計] 卸載, 下栽",2,CEEC-108
downstairs,adj./adv./n.,樓下,2,CEEC-108
downtown,adj./adv./n.,在城市的商業區；鬧區,3,CEEC-108
downward,adj./adv.,a. 向下的,6,CEEC-108
downwards,adv.,向下的,6,CEEC-108
doze,n./v.,打瞌睡,6,CEEC-108
dozen,n.,一打；十二個,1,CEEC-108
draft,n./v.,草稿,4,CEEC-108
drag,n./v.,拖曳,3,CEEC-108
dragon,n.,龍,2,CEEC-108
dragonfly,n.,蜻蜓,3,CEEC-108
drain,n./v.,排水,3,CEEC-108
drama,n.,戲劇,2,CEEC-108
dramatic,adj.,戲劇性的,3,CEEC-108
drastic,adj.,激烈的,6,CEEC-108
draught,n.,(=draft)草圖；草擬,6,CEEC-108
draw,n./v.,畫；拖拉,1,CEEC-108
drawer,n.,抽屜；拖曳者,2,CEEC-108
drawing,n.,n素描；製圖,2,CEEC-108
dread,n./v.,害怕,4,CEEC-108
dreadful,adj.,可怕的,5,CEEC-108
dream,n./v.,夢；做夢,1,CEEC-108
dress,n./v.,女裝；打扮,1,CEEC-108
dresser,n.,"n. 化妝檯, (劇團)服裝師, 碗櫃；[醫] 敷裹員",6,CEEC-108
dressing,n.,"n. 調味品, 穿衣, 化妝；[化] 追肥",6,CEEC-108
drift,n./v.,漂流；漂浮物,4,CEEC-108
drill,n./v.,鑽頭；鑽床,4,CEEC-108
drink,n./v.,飲料；喝,1,CEEC-108
drip,n./v.,n. 水滴；v. (使)滴下,3,CEEC-108
drive,n./v.,車程；駕駛,1,CEEC-108
driver,n.,"n. 駕駛員, 驅動器, 驅動程式；[化] 驅動器",1,CEEC-108
driveway,n.,私用車道,5,CEEC-108
drop,n./v.,(一)滴；下降,1,CEEC-108
drought,n.,乾旱,5,CEEC-108
drown,v.,把…淹死；淹沒,3,CEEC-108
drowsy,adj.,昏昏欲睡的,4,CEEC-108
drug,n./v.,藥品；毒品,2,CEEC-108
drugstore,n.,雜貨店,3,CEEC-108
drum,n./v.,鼓；打鼓,1,CEEC-108
drunk,adj./n.,喝酒醉的,3,CEEC-108
dry,adj./v.,乾燥的；使變乾,1,CEEC-108
dryer,n.,吹風機,2,CEEC-108
dual,adj.,由兩部分構成的,6,CEEC-108
dubious,adj.,覺得可疑的,6,CEEC-108
duck,n./v.,鴨子,1,CEEC-108
due,adj./adv./n.,到期的,2,CEEC-108
dull,adj./v.,單調的；遲鈍的,2,CEEC-108
dumb,adj.,啞的；愚笨的,3,CEEC-108
dump,n./v.,傾倒,3,CEEC-108
dumpling,n.,"n. 麵團布丁, 糰子",3,CEEC-108
durable,adj.,持久的,4,CEEC-108
duration,n.,持續,6,CEEC-108
during,prep.,在…期間,1,CEEC-108
dusk,n.,"n. 薄暮, 傍晚, 黃昏；a. 微暗的；v. (使)微暗",6,CEEC-108
dust,n./v.,灰塵；打掃,3,CEEC-108
dusty,adj.,"a. 灰塵多的, 無聊的, 含糊的, 粉末狀的",4,CEEC-108
duty,n.,義務；稅,2,CEEC-108
dwarf,n./v.,侏儒；矮小的,6,CEEC-108
dwell,v.,"vi. 居住, 居住(於), 存在(於)",6,CEEC-108
dwelling,n.,n. 住處；[醫] 住房,6,CEEC-108
dye,n./v.,染料；染色,4,CEEC-108
dynamic,adj.,動力的；動態的,4,CEEC-108
dynasty,n.,朝代,4,CEEC-108
each,adj./adv./pron.,各個,1,CEEC-108
eager,adj.,熱切的,3,CEEC-108
eagle,n.,鷹,2,CEEC-108
ear,n.,耳朵；聽力,1,CEEC-108
early,adj./adv.,早的,1,CEEC-108
earn,v.,賺取；贏得,2,CEEC-108
earnest,adj./n.,認真的,4,CEEC-108
earphone,n.,"n. 耳機, 聽筒；[電] 耳機",4,CEEC-108
earring,n.,"n. 耳環, 耳飾",2,CEEC-108
earth,n.,陸地；地球,1,CEEC-108
earthquake,n.,地震,2,CEEC-108
ease,n./v.,容易；減輕,2,CEEC-108
east,adj./adv./n.,東方的,1,CEEC-108
eastern,adj.,"n. 東方人, 東正教徒；a. 東方的, 向東的, 自東的",2,CEEC-108
easy,adj.,容易的,1,CEEC-108
eat,v.,吃；喝,1,CEEC-108
eccentric,adj./n.,古怪的(人),6,CEEC-108
echo,n./v.,回聲；回響,3,CEEC-108
eclipse,n./v.,(日、月)蝕,6,CEEC-108
ecological,adj.,"a. 生態學的, 主張生態保護的；[法] 生態的, 生態學的",5,CEEC-108
ecology,n.,生態學,5,CEEC-108
economic,adj.,經濟上的,4,CEEC-108
economical,adj.,經濟的；節儉的,4,CEEC-108
economics,n.,經濟學,4,CEEC-108
economist,n.,經濟學者,4,CEEC-108
economy,n.,節約；經濟,4,CEEC-108
ecosystem,n.,n. 生態系統；[醫] 生態系,5,CEEC-108
edge,n./v.,邊緣；使鋒利,2,CEEC-108
edible,adj.,可食的；食用的,6,CEEC-108
edit,v.,編輯,3,CEEC-108
edition,n.,發行數；版本,2,CEEC-108
editor,n.,"n. 編者, 編輯, 主筆, 編輯器, 編輯裝置；[計] 編輯器",3,CEEC-108
editorial,adj./n.,社論,6,CEEC-108
educate,v.,教育；教導,3,CEEC-108
education,n.,教育；教育學,2,CEEC-108
educational,adj.,有教育意義的,3,CEEC-108
effect,n./v.,結果；作用；影響,2,CEEC-108
effective,adj.,有效的,2,CEEC-108
efficiency,n.,效率,4,CEEC-108
efficient,adj.,有效率的,3,CEEC-108
effort,n.,努力,2,CEEC-108
egg,n.,蛋；卵細胞,1,CEEC-108
ego,n.,自我,5,CEEC-108
either,adj./adv./conj./pron.,(兩者之中)任一的,1,CEEC-108
elaborate,adj./v.,精巧的；複雜的,5,CEEC-108
elastic,adj./n.,有彈性的,4,CEEC-108
elbow,n./v.,肘部；扶手,3,CEEC-108
elder,adj./n.,年齡較大的,2,CEEC-108
elderly,adj.,年長的,3,CEEC-108
elect,adj./v.,選舉,3,CEEC-108
election,n.,選舉,3,CEEC-108
electric,adj.,電的,2,CEEC-108
electrical,adj.,"a. 電的, 有關電的；[醫] 電的",2,CEEC-108
electrician,n.,電工；電氣技師,6,CEEC-108
electricity,n.,電；電流,3,CEEC-108
electronic,adj.,電子的,3,CEEC-108
electronics,n.,n電子學,4,CEEC-108
elegant,adj.,優雅的,4,CEEC-108
element,n.,元素,3,CEEC-108
elementary,adj.,基本的；初級的,4,CEEC-108
elephant,n.,象,1,CEEC-108
elevate,v.,使提高,6,CEEC-108
elevator,n.,電梯；升降機,3,CEEC-108
eligible,adj.,有資格的,5,CEEC-108
eliminate,v.,消滅；排除,4,CEEC-108
eloquent,adj.,雄辯的,5,CEEC-108
else,adv.,其他；另外,1,CEEC-108
elsewhere,adv.,在別處,4,CEEC-108
email,n./v.,n. 電子信函,1,CEEC-108
embarrass,v.,"vt. 使困窘, 使局促不安, 阻礙",4,CEEC-108
embarrassment,n.,"n. 困難, 阻礙, 困窘；[醫] 窘迫",4,CEEC-108
embassy,n.,大使館,4,CEEC-108
embrace,n./v.,"n. 擁抱；vt. 擁抱, 互相擁抱, 包含, 收買；vi. 擁抱",5,CEEC-108
emerge,v.,浮現；顯露,4,CEEC-108
emergency,n.,緊急情況,3,CEEC-108
emigrant,n.,移民,6,CEEC-108
emigrate,v.,"v. (使)移居, (使)移民",6,CEEC-108
emigration,n.,"n. 移民, 移居外國(或外地)；[醫] 血細胞滲出",6,CEEC-108
emission,n.,散發,5,CEEC-108
emotion,n.,情感；激動,2,CEEC-108
emotional,adj.,感情上的,3,CEEC-108
emperor,n.,統治者；皇帝,3,CEEC-108
emphasis,n.,強調,4,CEEC-108
emphasize,v.,強調,2,CEEC-108
empire,n.,帝國；王權,4,CEEC-108
employ,v.,"n. 僱用；vt. 僱用, 使用, 使從事於",2,CEEC-108
employee,n.,僱員,2,CEEC-108
employer,n.,僱主,2,CEEC-108
employment,n.,"n. 僱用, 職業, 工作；[經] 職業, 僱用, 職工招請",2,CEEC-108
empty,adj./v.,空的,2,CEEC-108
enable,v.,使能夠,3,CEEC-108
enclose,v.,圍住；把(公文等)封入,4,CEEC-108
encounter,n./v.,遭遇；衝突,4,CEEC-108
encourage,v.,"vt. 鼓勵, 支持, 激勵；[法] 慫恿, 煽動, 助長",2,CEEC-108
encouragement,n.,"n. 鼓勵, 激勵, 獎勵；[法] 慫恿, 煽動, 助長",2,CEEC-108
encyclopedia,n.,百科全書,6,CEEC-108
end,n./v.,結束,1,CEEC-108
endanger,v.,使瀕臨危機,4,CEEC-108
endeavor,n./v.,"n. 努力, 盡力；vi. 努力, 盡力",6,CEEC-108
ending,n.,"n. 終止, 終了, 收場；[醫] 末梢",2,CEEC-108
endorse,v.,贊同,5,CEEC-108
endorsement,n.,"n. 支持, 認可, 背書；[經] 背書, 擔保, 保證",5,CEEC-108
endowment,n.,天資,6,CEEC-108
endurance,n.,耐力,6,CEEC-108
endure,v.,忍受,4,CEEC-108
enemy,n.,敵人,2,CEEC-108
energetic,adj.,充滿活力的,3,CEEC-108
energy,n.,活力,2,CEEC-108
enforce,v.,"vt. 強迫, 執行, 堅持；[經] 予以強制執行",4,CEEC-108
enforcement,n.,"n. 執行, 強制；[法] 實施, 加強, 厲行",4,CEEC-108
engage,v.,"vi. 答應, 從事, 交戰；vt. 使忙碌, 僱傭, 預定, 使從事於, 使參加",3,CEEC-108
engagement,n.,"n. 諾言, 約會, 婚約, 交戰；[醫] 銜接",3,CEEC-108
engine,n.,發動機；引擎,2,CEEC-108
engineer,n.,工程師,1,CEEC-108
engineering,n.,工程,4,CEEC-108
enhance,v.,增加,6,CEEC-108
enhancement,n.,"n. 提高, 美化, 增進, 增強, 增加；[計] 增強, 加強, 提高, 充實",6,CEEC-108
enjoy,v.,"vt. 享受, 喜歡, 欣賞；[法] 享受, 享有, 獲得某種利益",1,CEEC-108
enjoyable,adj.,有樂趣的,3,CEEC-108
